time,rating,free_text,surgery,pcn,jev_sentiment,jev_sentiment_confidence,jev_primary_topic,jev_primary_topic_confidence,jev_secondary_topics,jev_secondary_topic_scores,jev_sentiment_strength,jev_sentiment_strength_confidence,jev_actionability,jev_actionability_confidence,jev_urgency,jev_urgency_confidence
8/23/24 15:48,Very good,Booking the appointment and the quality of the medical care were excellent,The-Chelsea-Practice,Brompton-Health-PCN,Positive,1.0,Overall Service and Practice,0.54,,"{""Appointment Availability and Lead Times"": 0.18, ""Clinical Assessment and Diagnosis"": 0.08, ""Consultation Communication and Listening"": 0.04, ""Digital Booking and Online Systems"": 0.17, ""Facilities, Cleanliness and Environment"": 0.03, ""Feedback and Complaints Handling"": 0.03, ""Follow-up and Continuity of Care"": 0.03, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.3, ""Patient Information and Education"": 0.03, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.31, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.04, ""Staff Professionalism and Knowledge"": 0.1, ""Telephone Access"": 0.06, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.13, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.03, ""Website and Practice Information"": 0.06}",2.8,0.83,0.0,1.0,0.0,1.0
6/22/24 21:53,Good,Friendly reception caring doctors and no issues whatsoever,Stanhope-Mews-Surgery,Brompton-Health-PCN,Positive,1.0,Staff Kindness and Empathy,0.43,Reception Service,"{""Appointment Availability and Lead Times"": 0.03, ""Clinical Assessment and Diagnosis"": 0.05, ""Consultation Communication and Listening"": 0.13, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.03, ""Feedback and Complaints Handling"": 0.03, ""Follow-up and Continuity of Care"": 0.03, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.49, ""Patient Information and Education"": 0.04, ""Physical Accessibility"": 0.03, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.8, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.06, ""Staff Kindness and Empathy"": 0.81, ""Staff Professionalism and Knowledge"": 0.3, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.03, ""Treatment Effectiveness and Safety"": 0.14, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.03, ""Website and Practice Information"": 0.02}",2.73,0.76,0.0,1.0,0.0,1.0
9/5/25 13:21,Very good,I always feel well cared for at my GP Surgery,The-Abingdon-Medical-Practice,Brompton-Health-PCN,Positive,1.0,Staff Kindness and Empathy,0.57,,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.03, ""Consultation Communication and Listening"": 0.06, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.03, ""Feedback and Complaints Handling"": 0.03, ""Follow-up and Continuity of Care"": 0.09, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.43, ""Patient Information and Education"": 0.03, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.03, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.05, ""Staff Kindness and Empathy"": 0.27, ""Staff Professionalism and Knowledge"": 0.08, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.04, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.02}",2.59,0.66,0.0,1.0,0.01,0.99
6/27/24 17:09,Very good,The service was smooth effective and polite,Health-Partners-at-Violet-Melchett,Brompton-Health-PCN,Positive,1.0,Overall Service and Practice,0.64,,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.02, ""Consultation Communication and Listening"": 0.15, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.02, ""Follow-up and Continuity of Care"": 0.02, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.54, ""Patient Information and Education"": 0.03, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.1, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.06, ""Staff Kindness and Empathy"": 0.3, ""Staff Professionalism and Knowledge"": 0.3, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.24, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.03, ""Website and Practice Information"": 0.02}",2.09,0.91,0.0,1.0,0.0,1.0
6/3/24 12:20,Neither good nor poor,Lately it s not easy to get an appointment anymore Changed a Lot,The-Good-Practice,Brompton-Health-PCN,Negative,0.98,Appointment Availability and Lead Times,1.0,,"{""Appointment Availability and Lead Times"": 0.91, ""Clinical Assessment and Diagnosis"": 0.03, ""Consultation Communication and Listening"": 0.04, ""Digital Booking and Online Systems"": 0.04, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.03, ""Follow-up and Continuity of Care"": 0.16, ""Mental Health Support"": 0.04, ""Overall Service and Practice"": 0.34, ""Patient Information and Education"": 0.03, ""Physical Accessibility"": 0.03, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.32, ""Referral, Specialist and Hospital Coordination"": 0.03, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.02, ""Staff Professionalism and Knowledge"": 0.02, ""Telephone Access"": 0.1, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.02, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.23, ""Website and Practice Information"": 0.05}",1.81,0.81,2.05,0.58,1.41,0.41
9/14/26 10:33,Very good,From email to consultation was less than an hour It could not have been faster,Health-Partners-at-Violet-Melchett,Brompton-Health-PCN,Positive,1.0,Appointment Availability and Lead Times,0.98,,"{""Appointment Availability and Lead Times"": 0.8, ""Clinical Assessment and Diagnosis"": 0.04, ""Consultation Communication and Listening"": 0.1, ""Digital Booking and Online Systems"": 0.12, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.1, ""Follow-up and Continuity of Care"": 0.07, ""Mental Health Support"": 0.04, ""Overall Service and Practice"": 0.32, ""Patient Information and Education"": 0.03, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.21, ""Referral, Specialist and Hospital Coordination"": 0.03, ""Remote Consultation"": 0.2, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.03, ""Staff Professionalism and Knowledge"": 0.06, ""Telephone Access"": 0.04, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.02, ""Vaccinations and Immunisations"": 0.01, ""Waiting Time at the Surgery"": 0.34, ""Website and Practice Information"": 0.03}",3.26,0.7,0.01,0.99,0.06,0.94
6/20/24 13:42,Very good,My doctor PERSON took the time to explain my concerns in great detail She prompted me to get a blood test based on my eating habits and allayed any fears that I had,Stanhope-Mews-Surgery,Brompton-Health-PCN,Positive,1.0,Consultation Communication and Listening,1.0,Clinical Assessment and Diagnosis | Staff Kindness and Empathy | Staff Professionalism and Knowledge | Patient Information and Education,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.6, ""Consultation Communication and Listening"": 0.87, ""Digital Booking and Online Systems"": 0.01, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.04, ""Follow-up and Continuity of Care"": 0.12, ""Mental Health Support"": 0.08, ""Overall Service and Practice"": 0.17, ""Patient Information and Education"": 0.89, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.03, ""Reception Service"": 0.02, ""Referral, Specialist and Hospital Coordination"": 0.03, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.13, ""Staff Kindness and Empathy"": 0.75, ""Staff Professionalism and Knowledge"": 0.81, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.53, ""Treatment Effectiveness and Safety"": 0.11, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.02}",2.79,0.82,0.03,0.97,0.05,0.95
7/17/25 9:30,Very good,Dr PERSON was very quick to deal with my problem and giving the right medication Thank you,Stanhope-Mews-Surgery,Brompton-Health-PCN,Positive,1.0,Treatment Effectiveness and Safety,0.5,Prescriptions and Medication Management,"{""Appointment Availability and Lead Times"": 0.19, ""Clinical Assessment and Diagnosis"": 0.1, ""Consultation Communication and Listening"": 0.11, ""Digital Booking and Online Systems"": 0.02, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.04, ""Follow-up and Continuity of Care"": 0.04, ""Mental Health Support"": 0.04, ""Overall Service and Practice"": 0.2, ""Patient Information and Education"": 0.07, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.74, ""Reception Service"": 0.03, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.15, ""Staff Professionalism and Knowledge"": 0.59, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.51, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.36, ""Website and Practice Information"": 0.02}",2.38,0.67,0.0,1.0,0.02,0.98
12/30/25 23:16,Very good,the doctor who saw me on that day gave me enough time to listen to all my problems I had on my health,The-Good-Practice,Brompton-Health-PCN,Positive,0.99,Consultation Communication and Listening,1.0,Staff Kindness and Empathy,"{""Appointment Availability and Lead Times"": 0.04, ""Clinical Assessment and Diagnosis"": 0.11, ""Consultation Communication and Listening"": 0.92, ""Digital Booking and Online Systems"": 0.01, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.07, ""Follow-up and Continuity of Care"": 0.05, ""Mental Health Support"": 0.12, ""Overall Service and Practice"": 0.25, ""Patient Information and Education"": 0.11, ""Physical Accessibility"": 0.02, ""Prescriptions and Medication Management"": 0.02, ""Reception Service"": 0.02, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.23, ""Staff Kindness and Empathy"": 0.79, ""Staff Professionalism and Knowledge"": 0.46, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.02, ""Treatment Effectiveness and Safety"": 0.03, ""Vaccinations and Immunisations"": 0.02, ""Waiting Time at the Surgery"": 0.06, ""Website and Practice Information"": 0.02}",1.92,0.86,0.01,0.99,0.01,0.99
7/18/25 17:05,Very good,Your exceptional service deserves recognition I would call you a hero Thank you for your dedication,Earls-Court-Medical-Centre,Brompton-Health-PCN,Positive,1.0,Overall Service and Practice,0.63,,"{""Appointment Availability and Lead Times"": 0.02, ""Clinical Assessment and Diagnosis"": 0.01, ""Consultation Communication and Listening"": 0.04, ""Digital Booking and Online Systems"": 0.01, ""Facilities, Cleanliness and Environment"": 0.02, ""Feedback and Complaints Handling"": 0.03, ""Follow-up and Continuity of Care"": 0.02, ""Mental Health Support"": 0.02, ""Overall Service and Practice"": 0.43, ""Patient Information and Education"": 0.02, ""Physical Accessibility"": 0.01, ""Prescriptions and Medication Management"": 0.01, ""Reception Service"": 0.06, ""Referral, Specialist and Hospital Coordination"": 0.02, ""Remote Consultation"": 0.02, ""Respect, Dignity, Privacy and Inclusion"": 0.02, ""Staff Kindness and Empathy"": 0.3, ""Staff Professionalism and Knowledge"": 0.17, ""Telephone Access"": 0.02, ""Tests, Investigations and Results"": 0.01, ""Treatment Effectiveness and Safety"": 0.02, ""Vaccinations and Immunisations"": 0.01, ""Waiting Time at the Surgery"": 0.02, ""Website and Practice Information"": 0.02}",3.95,0.96,0.0,1.0,0.08,0.92
