date,rating,review,pcn,surgery
2026-01-01 01:33:05,Very good,"Sensitive, informative, timely ",Brompton-Health-PCN,The-Good-Practice
2026-01-01 12:09:08,Good,It’s the way they care for their patients and their professionalism.,Brompton-Health-PCN,The-Good-Practice
2026-01-01 12:21:05,Very good,"The doctor was checking the prescription with me, so was on the ball reading the notes. I appreciated that. I didnt feel so 'faceless'.",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 12:30:00,Very good,Staff was friendly and responsive,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 12:30:16,Very good,"I spoke to a kind girl initially who listened to me.
I had a callback from a very polite GP who also listened and was able to prescribe the effective antibiotics for my UTI which was causing extreme discomfort at work. Thank you",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 12:32:56,Very good,Because the response was very fast.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 12:38:24,Very good,"Very nice welcome, did not waited long, the person was attentive and efficient.
But I did not received the prescription at the pharmacy in the next 3 days and had to call and I received it the same day.
Possibly miscommunication in English.",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 12:40:22,Very good,It was excellent.  The Doctor gave me time and was very empathetic. ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 12:47:09,Very good,Dr F butler is a brilliant doctor and all the rest as well ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 12:51:34,Very good,I find it very simple to use,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 13:01:06,Good,Things took time and the doctor I spoke to disappeared! Otherwise I found the experience satisfactory.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 13:03:37,Poor,The triage person on the phone seemed incompetent and didn't seem to have read my emailed history ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 13:03:56,Very good,"Continuity is important in a patient's relationship with the NHS. Dr Tim Rees and his colleagues have been treating me for 30 years.  They know me - and my weaknesses - very well. I know I can access them via an impersonal app, but I prefer to use the phone and hear a reassuring human voice!  I never wait long and get quick appointments. 5 star!  ",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 13:26:12,Neither good nor poor,"You have been sending regular emails to my COPD Stage 4 Doctor since July 2025. He didn’t mention what you were relating to him, as it seems you were using it for another Referral. ",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 13:37:51,Good,Referral to specialist,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 13:39:08,Very good,I walked in without an appointment at 1050 and was seen at 1110. One can scarcely expect better thannthat.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 14:10:44,Very good,Available; Active Listening; Prompt referral,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 14:32:04,Don't know,Did not have any consultation. Don't understand why you need survey.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 14:47:27,Very good,Very helpful,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 14:48:40,Poor,I was called twice quickly but the caller did not stay on line for me to answer or call later,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 14:48:57,Very good,Dr Bradley who I had  telephone consultation with was excellent and very thorough in her questions and answers.  I find her to be very helpful.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 15:10:49,Very good,"I have been treated with respect and professional manners , doctors appointment are made correctly and easy to understand yhe time and yhe date of the appointment ",Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 15:20:00,Very good,Fitted me in and looked after me very well,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 15:42:55,Very good,Efficient and went above and beyond to help me. As well as the cough looked at my mental health and giving up smoking ,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 16:18:10,Good,Seen in good time.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 16:20:13,Very good,I was contacted by the on call doctor within a few minutes of my call to the surgery. He was very efficient and having sent photos of a lesion on my leg called me back immediately. He arranged for me to see a practice nurse 2 hours later and prescribed antibiotics.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 16:37:57,Very good,"The receptionist kindly got me a call back from the GP, who gave me an appointment. The doctor I saw was excellent.",Brompton-Health-PCN,Stanhope-Mews-Surgery
2026-01-01 17:44:47,Very good,It's a friendly and efficient surgery,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 18:06:49,Very good,It was made simple and swiftly dealt with,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
2026-01-01 19:00:12,Very good,They’re good with communication and they respond quickly and they treat patients with respect and manners. It’s one of the best GP practices I’ve been to in central London. They are very professional and I admire that.,Brompton-Health-PCN,Health-Partners-at-Violet-Melchett
